Code;Country;Continent
AFG;Afghanistan;Asia
ALB;Albania;Europe
DZA;Algeria;Africa
ASM;American Samoa;Oceania
AND;Andorra;Europe
AGO;Angola;Africa
ATG;Antigua and Barbuda;North America
ARG;Argentina;South America
ARM;Armenia;Asia
AUS;Australia;Oceania
AUT;Austria;Europe
AZE;Azerbaijan;Asia
BHS;Bahamas;North America
BHR;Bahrain;Asia
BGD;Bangladesh;Asia
BRB;Barbados;North America
BLR;Belarus;Europe
BEL;Belgium;Europe
BLZ;Belize;North America
BEN;Benin;Africa
BMU;Bermuda;North America
BTN;Bhutan;Asia
BOL;Bolivia;South America
BIH;Bosnia and Herzegovina;Europe
BWA;Botswana;Africa
BRA;Brazil;South America
BRN;Brunei;Asia
BGR;Bulgaria;Europe
BFA;Burkina Faso;Africa
BDI;Burundi;Africa
KHM;Cambodia;Asia
CMR;Cameroon;Africa
CAN;Canada;North America
CPV;Cape Verde;Africa
CAF;Central African Republic;Africa
TCD;Chad;Africa
CHL;Chile;South America
CHN;China;Asia
COL;Colombia;South America
COM;Comoros;Africa
COG;Congo;Africa
COK;Cook Islands;Oceania
CRI;Costa Rica;North America
CIV;Cote d'Ivoire;Africa
HRV;Croatia;Europe
CUB;Cuba;North America
CYP;Cyprus;Europe
CZE;Czechia;Europe
COD;Democratic Republic of Congo;Africa
DNK;Denmark;Europe
DJI;Djibouti;Africa
DMA;Dominica;North America
DOM;Dominican Republic;North America
;East Asia and Pacific;Europe
ECU;Ecuador;South America
EGY;Egypt;Africa
SLV;El Salvador;North America
GNQ;Equatorial Guinea;Africa
ERI;Eritrea;Africa
EST;Estonia;Europe
SWZ;Eswatini;Africa
ETH;Ethiopia;Africa
;Europe and Central Asia;
FJI;Fiji;Oceania
FIN;Finland;Europe
FRA;France;Europe
PYF;French Polynesia;Oceania
GAB;Gabon;Africa
GMB;Gambia;Africa
GEO;Georgia;Asia
DEU;Germany;Europe
GHA;Ghana;Africa
GRC;Greece;Europe
GRL;Greenland;North America
GRD;Grenada;North America
GTM;Guatemala;North America
GIN;Guinea;Africa
GNB;Guinea-Bissau;Africa
GUY;Guyana;South America
HTI;Haiti;North America
HND;Honduras;North America
HKG;Hong Kong;Asia
HUN;Hungary;Europe
ISL;Iceland;Europe
IND;India;Asia
IDN;Indonesia;Asia
IRN;Iran;Asia
IRQ;Iraq;Asia
IRL;Ireland;Europe
ISR;Israel;Asia
ITA;Italy;Europe
JAM;Jamaica;North America
JPN;Japan;Asia
JOR;Jordan;Asia
KAZ;Kazakhstan;Asia
KEN;Kenya;Africa
KIR;Kiribati;Oceania
KWT;Kuwait;Asia
KGZ;Kyrgyzstan;Asia
LAO;Laos;Asia
;Latin America and Caribbean;South America
LVA;Latvia;Europe
LBN;Lebanon;Asia
LSO;Lesotho;Africa
LBR;Liberia;Africa
LBY;Libya;Africa
LTU;Lithuania;Europe
LUX;Luxembourg;Europe
MDG;Madagascar;Africa
MWI;Malawi;Africa
MYS;Malaysia;Asia
MDV;Maldives;Asia
MLI;Mali;Africa
MLT;Malta;Europe
MHL;Marshall Islands;Oceania
MRT;Mauritania;Africa
MUS;Mauritius;Africa
MEX;Mexico;North America
FSM;Micronesia (country);Oceania
;Middle East and North Africa;Europe
MDA;Moldova;Europe
MNG;Mongolia;Asia
MNE;Montenegro;Europe
MAR;Morocco;Africa
MOZ;Mozambique;Africa
MMR;Myanmar;Asia
NAM;Namibia;Africa
NRU;Nauru;Oceania
NPL;Nepal;Asia
NLD;Netherlands;Europe
NZL;New Zealand;Oceania
NIC;Nicaragua;North America
NER;Niger;Africa
NGA;Nigeria;Africa
NIU;Niue;Oceania
;North America;Oceania
PRK;North Korea;Asia
MKD;North Macedonia;Europe
NOR;Norway;Europe
OMN;Oman;Asia
PAK;Pakistan;Asia
PLW;Palau;Oceania
PSE;Palestine;Asia
PAN;Panama;North America
PNG;Papua New Guinea;Oceania
PRY;Paraguay;South America
PER;Peru;South America
PHL;Philippines;Asia
POL;Poland;Europe
PRT;Portugal;Europe
PRI;Puerto Rico;North America
QAT;Qatar;Asia
ROU;Romania;Europe
RUS;Russia;Europe
RWA;Rwanda;Africa
KNA;Saint Kitts and Nevis;North America
LCA;Saint Lucia;North America
VCT;Saint Vincent and the Grenadines;
WSM;Samoa;Oceania
STP;Sao Tome and Principe;Africa
SAU;Saudi Arabia;Asia
SEN;Senegal;Africa
SRB;Serbia;Europe
SYC;Seychelles;Africa
SLE;Sierra Leone;Africa
SGP;Singapore;Asia
SVK;Slovakia;Europe
SVN;Slovenia;Europe
SLB;Solomon Islands;Oceania
SOM;Somalia;Africa
ZAF;South Africa;Africa
;South Asia;South America
KOR;South Korea;Asia
ESP;Spain;Europe
LKA;Sri Lanka;Asia
;Sub-Saharan Africa;
SDN;Sudan;Africa
SUR;Suriname;South America
SWE;Sweden;Europe
CHE;Switzerland;Europe
SYR;Syria;Asia
TWN;Taiwan;Asia
TJK;Tajikistan;Asia
TZA;Tanzania;Africa
THA;Thailand;Asia
TLS;Timor;Asia
TGO;Togo;Africa
TKL;Tokelau;Oceania
TON;Tonga;Oceania
TTO;Trinidad and Tobago;North America
TUN;Tunisia;Africa
TUR;Turkey;Asia
TKM;Turkmenistan;Asia
TUV;Tuvalu;Oceania
UGA;Uganda;Africa
UKR;Ukraine;Europe
ARE;United Arab Emirates;Asia
GBR;United Kingdom;Europe
USA;United States;North America
URY;Uruguay;South America
UZB;Uzbekistan;Asia
VUT;Vanuatu;Oceania
VEN;Venezuela;South America
VNM;Vietnam;Asia
OWID_WRL;World;
YEM;Yemen;Asia
ZMB;Zambia;Africa
ZWE;Zimbabwe;Africa
